Susan; Sat Mar 29 12:53:44 GMT 2014; 51.4111 N  0.0515 E; Bullers Wood School; AGAINST;  Dennis Cox WEB; 7; 7
Susan; Sat Mar 29 12:53:44 GMT 2014; 51.4111 N  0.0515 E; Bullers Wood School; CHOROGRAPHICAL;  William Camden WORDS; 1; 1
Susan; Sat Mar 29 12:53:44 GMT 2014; 51.4111 N  0.0515 E; Bullers Wood School; TOPOGRAPHER;  William Camden WEB; 1; 1
Susan; Sat Mar 29 17:13:08 GMT 2014; 51.4106 N  0.0521 E; Bullers Wood School; STATION;  Chislehurst railway station WORDS; 8; 8
Susan; Sat Mar 29 17:14:06 GMT 2014; 51.4115 N  0.0516 E; Bullers Wood School; MAVELSTONE;  Mavelstone Road WORDS; 1; 1
Susan; Sat Mar 29 17:14:06 GMT 2014; 51.4115 N  0.0516 E; Bullers Wood School; UNADOPTED;  Mavelstone Road WEB; 1; 1
Susan; Sat Mar 29 17:14:06 GMT 2014; 51.4115 N  0.0516 E; Bullers Wood School; ROAD;  Phillip's Field WORDS; 1; 6
Susan; Sat Mar 29 17:14:06 GMT 2014; 51.4115 N  0.0516 E; Bullers Wood School; CLASS;  Phillip's Field WEB; 9; 9
Susan; Thu Apr 03 10:27:59 GMT+01:00 2014; 51.4115 N  0.0307 W; Beckenham Junction station; CHURCH;  Beckenham Junction station WEB; 4; 5
Susan; Thu Apr 03 10:27:59 GMT+01:00 2014; 51.4115 N  0.0307 W; Beckenham Junction station; PX;  Beckenham Road tram stop WORDS; 1; 1
Susan; Thu Apr 03 10:27:59 GMT+01:00 2014; 51.4115 N  0.0307 W; Beckenham Junction station; PX;  Beckenham Road tram stop WORDS; 1; 1
Susan; Thu Apr 03 10:42:01 GMT+01:00 2014; 51.4631 N  0.1147 W; Brixton tube station; BRIXTON;  NME Awards 2012 WEB; 6; 25
Susan; Thu Apr 03 10:42:01 GMT+01:00 2014; 51.4631 N  0.1147 W; Brixton tube station; BRIXTON;  British Invasion (Steel Panther DVD) WORDS; 7; 25
Susan; Thu Apr 03 10:42:01 GMT+01:00 2014; 51.4631 N  0.1147 W; Brixton tube station; ACADEMY;  You Fat Bastards: Live at the Brixton Academy WEB; 13; 14
Susan; Thu Apr 03 10:42:01 GMT+01:00 2014; 51.4631 N  0.1147 W; Brixton tube station; BRIXTON;  Morleys Stores Ltd WEB; 6; 26
Susan; Thu Apr 03 10:42:01 GMT+01:00 2014; 51.4631 N  0.1147 W; Brixton tube station; BRIXTON;  A2217 road WORDS; 1; 26
Susan; Thu Apr 03 10:42:01 GMT+01:00 2014; 51.4631 N  0.1147 W; Brixton tube station; BRIXTON;  Electric Avenue WORDS; 18; 26
Susan; Thu Apr 03 10:51:16 GMT+01:00 2014; 51.4962 N  0.1438 W; Victoria Palace Theatre; VICTORIA;  Little Ben WORDS; 17; 18
Susan; Thu Apr 03 10:51:16 GMT+01:00 2014; 51.4962 N  0.1438 W; Victoria Palace Theatre; BEN;  Little Ben WORDS; 1; 1
Susan; Thu Apr 03 10:51:16 GMT+01:00 2014; 51.4962 N  0.1438 W; Victoria Palace Theatre; BEN;  Little Ben WEB; 1; 1
Susan; Thu Apr 03 10:52:24 GMT+01:00 2014; 51.4963 N  0.1440 W; London Victoria station; VICTORIA;  Little Ben WORDS; 17; 18
Susan; Thu Apr 03 10:52:24 GMT+01:00 2014; 51.4963 N  0.1440 W; London Victoria station; BEN;  Little Ben WORDS; 1; 1
Susan; Thu Apr 03 11:04:57 GMT+01:00 2014; 51.5149 N  0.1417 W; Oxford Circus tube station; INTERSECTION;  Intersection (road) WORDS; 1; 3
Susan; Thu Apr 03 11:45:31 GMT+01:00 2014; 51.5186 N  0.1518 W; L'Autre Pied; AUTRE;  L'Autre Pied WORDS; 1; 1
Susan; Thu Apr 03 11:46:50 GMT+01:00 2014; 51.5187 N  0.1517 W; L'Autre Pied; EAVES;  L'Autre Pied WEB; 1; 1
Susan; Thu Apr 03 11:46:50 GMT+01:00 2014; 51.5187 N  0.1517 W; L'Autre Pied; MICHELIN;  L'Autre Pied WEB; 1; 1
Susan; Thu Apr 03 13:38:55 GMT+01:00 2014; 51.5303 N  0.1234 W; Kings Cross, London; BIRKENHEAD;  Birkenhead Street, London WORDS; 1; 1
Susan; Thu Apr 03 13:38:55 GMT+01:00 2014; 51.5303 N  0.1234 W; Kings Cross, London; MINUSCULE;  Minuscule 481 WEB; 9; 90
Susan; Thu Apr 03 13:38:55 GMT+01:00 2014; 51.5303 N  0.1234 W; Kings Cross, London; BIRKENHEAD;  Birkenhead Street, London WORDS; 1; 1
Susan; Thu Apr 03 13:38:55 GMT+01:00 2014; 51.5303 N  0.1234 W; Kings Cross, London; BIRKENHEAD;  Birkenhead Street, London WEB; 1; 1
Terry; Thu Mar 27 13:12:54 GMT 2014; 51.5268 N  0.1023 W; Northampton Square; CITY;  Finsbury WORDS; 9; 11
Terry; Thu Mar 27 13:17:07 GMT 2014; 51.5273 N  0.1035 W; City University London; CITY;  Finsbury WEB; 8; 11
Terry; Thu Mar 27 21:27:42 GMT 2014; 51.5608 N  0.1957 E; Abbs Cross Academy and Arts College; BARKING;  Rush Green Hospital WEB; 6; 11
Terry; Wed Apr 02 06:50:20 GMT+01:00 2014; 51.5418 N  0.0038 W; Stratford station; STRATFORD;  Henry Burling WORDS; 3; 20
Terry; Wed Apr 02 06:50:20 GMT+01:00 2014; 51.5418 N  0.0038 W; Stratford station; BURLING;  Henry Burling WORDS; 1; 1
Terry; Wed Apr 02 12:07:59 GMT+01:00 2014; 51.5164 N  0.0800 W; Fisher's Folly; METRE;  List of tallest buildings and structures in London WORDS; 1; 2
Terry; Wed Apr 02 13:18:26 GMT+01:00 2014; 51.5175 N  0.0875 W; London Guildhall University; MOORFIELDS;  Moorfields WORDS; 3; 3
Terry; Wed Apr 02 13:40:02 GMT+01:00 2014; 51.5258 N  0.0998 W; Berry Street Studio; FREDDIE;  Berry Street Studio WEB; 1; 1
Zoe; Fri Mar 28 13:03:39 GMT+00:00 2014; 51.5267 N  0.1030 W; City University London; MAYOR;  Lutfur Rahman WEB; 1; 2
Zoe; Fri Mar 28 13:03:39 GMT+00:00 2014; 51.5267 N  0.1030 W; City University London; ISLINGTON;  Plus Bus route 812 WORDS; 1; 7
Zoe; Sat Mar 29 19:48:59 GMT+00:00 2014; 51.4208 N  0.1696 W; Colliers Wood; ABBEY;  Tooting Junction railway station (Tooting, Merton & Wimbledon Railway) WORDS; 3; 3
Zoe; Mon Mar 31 16:11:10 BST 2014; 51.5071 N  0.0242 W; Museum of London Docklands; MUSEUM;  George Steevens WEB; 1; 4
Zoe; Mon Mar 31 16:12:24 BST 2014; 51.5071 N  0.0240 W; Museum of London Docklands; CANARY;  List of tallest buildings and structures in London WEB; 6; 28
Zoe; Thu Apr 03 06:04:05 BST 2014; 51.4208 N  0.1691 W; Colliers Wood; BUILDING;  Colliers Wood WORDS; 3; 3
Zoe; Thu Apr 03 06:04:05 BST 2014; 51.4208 N  0.1691 W; Colliers Wood; WORLD;  Southern Railway (UK) WEB; 11; 17
Zoe; Thu Apr 03 06:04:05 BST 2014; 51.4208 N  0.1691 W; Colliers Wood; GEORGE;  St George's Hospital WORDS; 9; 11
Zoe; Thu Apr 03 06:04:05 BST 2014; 51.4208 N  0.1691 W; Colliers Wood; STATION;  Colliers Wood tube station WEB; 5; 8
Zoe; Thu Apr 03 06:04:05 BST 2014; 51.4208 N  0.1691 W; Colliers Wood; INTENDED;  Colliers Wood WORDS; 1; 1
Zoe; Thu Apr 03 10:48:20 BST 2014; 51.5102 N  0.0281 W; Limehouse railway station (London and Blackwall); DOCKS;  West India Docks railway station WEB; 4; 4
Zoe; Thu Apr 03 10:48:20 BST 2014; 51.5102 N  0.0281 W; Limehouse railway station (London and Blackwall); DOCKS;  Limehouse railway station (London and Blackwall) WEB; 3; 4
Zoe; Thu Apr 03 10:50:21 BST 2014; 51.5124 N  0.0422 W; Troxy; LIMEHOUSE;  Limehouse station WEB; 8; 8
Zoe; Thu Apr 03 10:50:21 BST 2014; 51.5120 N  0.0531 W; Shadwell and St George's East railway station; CABLE;  Battle of Cable Street WEB; 4; 4
