Sophie; Thu Apr 03 14:46:15 GMT+01:00 2014; 51.5460 N  0.1022 W; A1200 road; HOSPITAL; 39; BLACK; 4; 50
Sophie; Thu Apr 03 14:46:15 GMT+01:00 2014; 51.5460 N  0.1022 W; A1200 road; ROAD; 70; GREEN; 1; 50
Sui; Fri Mar 28 10:14:38 GMT+00:00 2014; 51.5281 N  0.1045 W; Spa Green Estate; LAW; 129; RED; 2; 50
Sui; Fri Mar 28 10:17:58 GMT+00:00 2014; 51.5271 N  0.1027 W; City University London; ISLINGTON; 55; BLACK; 6; 50
Sui; Fri Mar 28 10:17:58 GMT+00:00 2014; 51.5271 N  0.1027 W; City University London; MUSEUM; 25; RED; 41; 50
Sui; Fri Mar 28 22:59:12 GMT+00:00 2014; 51.6458 N  0.1681 W; New Barnet; PARK; 107; MAGENTA; 2; 50
Sui; Fri Mar 28 22:59:12 GMT+00:00 2014; 51.6458 N  0.1681 W; New Barnet; BARNET; 166; BLUE; 1; 50
Sui; Fri Mar 28 22:59:12 GMT+00:00 2014; 51.6458 N  0.1681 W; New Barnet; EAST; 96; MAGENTA; 4; 50
Sui; Fri Mar 28 22:59:12 GMT+00:00 2014; 51.6458 N  0.1681 W; New Barnet; HADLEY; 28; BLACK; 36; 50
Sui; Fri Mar 28 22:59:12 GMT+00:00 2014; 51.6458 N  0.1681 W; New Barnet; BATTLE; 24; BLUE; 45; 50
Sui; Sun Mar 30 12:20:02 BST 2014; 51.6461 N  0.1684 W; New Barnet; BOROUGH; 67; CYAN; 9; 50
Sui; Sun Mar 30 12:20:02 BST 2014; 51.6461 N  0.1684 W; New Barnet; LONDON; 105; RED; 3; 50
Sui; Sun Mar 30 12:20:02 BST 2014; 51.6461 N  0.1684 W; New Barnet; STATION; 56; RED; 11; 50
Sui; Sun Mar 30 12:22:31 BST 2014; 51.6460 N  0.1678 W; New Barnet; OAK; 52; CYAN; 15; 50
Sui; Sun Mar 30 12:22:31 BST 2014; 51.6460 N  0.1678 W; New Barnet; TOUCH; 30; BLACK; 31; 50
Sui; Sun Mar 30 12:22:31 BST 2014; 51.6460 N  0.1678 W; New Barnet; SHIELD; 39; CYAN; 21; 50
Sui; Sun Mar 30 12:22:31 BST 2014; 51.6460 N  0.1678 W; New Barnet; OAK; 52; GREEN; 15; 50
Sui; Sun Mar 30 12:22:31 BST 2014; 51.6460 N  0.1678 W; New Barnet; DISTRICT; 88; BLACK; 5; 50
Sui; Mon Mar 31 23:19:51 BST 2014; 51.6459 N  0.1683 W; New Barnet; STATION; 55; MAGENTA; 11; 50
Sui; Mon Mar 31 23:19:51 BST 2014; 51.6459 N  0.1683 W; New Barnet; URBAN; 59; BLUE; 10; 50
Sui; Mon Mar 31 23:19:51 BST 2014; 51.6459 N  0.1683 W; New Barnet; PARK; 107; CYAN; 2; 50
Sui; Mon Mar 31 23:23:05 BST 2014; 51.6453 N  0.1677 W; New Barnet; SCHOOL; 83; GREEN; 6; 50
Sui; Mon Mar 31 23:23:05 BST 2014; 51.6453 N  0.1677 W; New Barnet; GREEN; 24; BLUE; 49; 50
Sui; Mon Mar 31 23:23:05 BST 2014; 51.6453 N  0.1677 W; New Barnet; BROOK; 25; GREEN; 43; 50
Sui; Mon Mar 31 23:28:04 BST 2014; 51.6455 N  0.1681 W; New Barnet; ABBEY; 29; CYAN; 34; 50
Sui; Mon Mar 31 23:28:04 BST 2014; 51.6455 N  0.1681 W; New Barnet; SHIELD; 39; BLACK; 20; 50
Sui; Tue Apr 01 09:17:51 BST 2014; 51.6315 N  0.1771 W; Oakleigh Park; WOODSIDE; 40; BLACK; 18; 50
Sui; Tue Apr 01 09:17:51 BST 2014; 51.6315 N  0.1771 W; Oakleigh Park; FINCHLEY; 36; BLUE; 23; 50
Sui; Wed Apr 02 12:23:46 BST 2014; 51.6459 N  0.1679 W; New Barnet; COCKFOSTERS; 55; BLUE; 11; 50
Sui; Wed Apr 02 12:23:46 BST 2014; 51.6459 N  0.1679 W; New Barnet; COCKFOSTERS; 54; CYAN; 11; 50
Sui; Wed Apr 02 12:23:46 BST 2014; 51.6459 N  0.1679 W; New Barnet; BATTLE; 24; GREEN; 45; 50
Sui; Wed Apr 02 12:23:46 BST 2014; 51.6459 N  0.1679 W; New Barnet; BATTLE; 24; MAGENTA; 45; 50
Sui; Wed Apr 02 12:23:46 BST 2014; 51.6459 N  0.1679 W; New Barnet; JEWISH; 30; BLUE; 32; 50
Sui; Wed Apr 02 12:23:46 BST 2014; 51.6459 N  0.1679 W; New Barnet; BARNET; 174; MAGENTA; 1; 50
Sui; Wed Apr 02 12:23:46 BST 2014; 51.6459 N  0.1679 W; New Barnet; BARNET; 166; GREEN; 1; 50
Sui; Wed Apr 02 16:02:09 BST 2014; 51.6447 N  0.2184 W; Whitings Hill Open Space; BURIAL; 65; MAGENTA; 7; 50
Sui; Wed Apr 02 16:02:09 BST 2014; 51.6447 N  0.2184 W; Whitings Hill Open Space; ARKLEY; 53; MAGENTA; 13; 50
Sui; Wed Apr 02 16:02:09 BST 2014; 51.6447 N  0.2184 W; Whitings Hill Open Space; WHITINGS; 35; RED; 25; 50
Sui; Wed Apr 02 16:02:09 BST 2014; 51.6447 N  0.2184 W; Whitings Hill Open Space; HOSPITAL; 40; MAGENTA; 18; 50
Sui; Wed Apr 02 16:02:09 BST 2014; 51.6447 N  0.2184 W; Whitings Hill Open Space; MEADOW; 25; CYAN; 47; 50
Sui; Wed Apr 02 16:02:09 BST 2014; 51.6447 N  0.2184 W; Whitings Hill Open Space; IMPORTANCE; 33; BLACK; 29; 50
Sui; Wed Apr 02 16:02:09 BST 2014; 51.6447 N  0.2184 W; Whitings Hill Open Space; HOSPITAL; 40; CYAN; 18; 50
Sui; Wed Apr 02 16:09:25 BST 2014; 51.6446 N  0.2185 W; Whitings Hill Open Space; LOCAL; 29; RED; 33; 50
Sui; Wed Apr 02 16:13:19 BST 2014; 51.6452 N  0.2183 W; Whitings Hill Open Space; WAR; 30; MAGENTA; 30; 50
Sui; Wed Apr 02 16:13:19 BST 2014; 51.5179 N  0.1190 W; High Holborn; HOTEL; 122; GREEN; 3; 50
Sui; Wed Apr 02 16:13:19 BST 2014; 51.5179 N  0.1190 W; High Holborn; TRAMWAY; 39; RED; 18; 50
Sui; Thu Apr 03 08:51:50 BST 2014; 51.5182 N  0.1192 W; High Holborn; SQUARE; 87; MAGENTA; 5; 50
Sui; Thu Apr 03 08:51:50 BST 2014; 51.5182 N  0.1192 W; High Holborn; CHANCERY; 49; MAGENTA; 9; 50
Sui; Thu Apr 03 08:51:50 BST 2014; 51.5182 N  0.1192 W; High Holborn; HOLBORN; 150; BLACK; 1; 50
Sui; Thu Apr 03 08:54:17 BST 2014; 51.5186 N  0.1196 W; Red Lion Square; CENTRAL; 32; MAGENTA; 35; 50
Sui; Thu Apr 03 08:54:17 BST 2014; 51.5186 N  0.1196 W; Red Lion Square; LIES; 34; RED; 32; 50
Sui; Thu Apr 03 08:55:16 BST 2014; 51.5179 N  0.1191 W; High Holborn; HOLBORN; 150; GREEN; 1; 50
Sui; Thu Apr 03 08:55:16 BST 2014; 51.5179 N  0.1191 W; High Holborn; CITY; 43; MAGENTA; 16; 50
Sui; Thu Apr 03 08:55:16 BST 2014; 51.5179 N  0.1191 W; High Holborn; MUSIC; 37; CYAN; 21; 50
Sui; Thu Apr 03 08:55:16 BST 2014; 51.5179 N  0.1191 W; High Holborn; LIST; 48; MAGENTA; 11; 50
Sui; Thu Apr 03 08:55:16 BST 2014; 51.5179 N  0.1191 W; High Holborn; ENTERTAINMENT; 38; BLUE; 22; 50
Sui; Thu Apr 03 08:58:24 BST 2014; 51.5176 N  0.1189 W; Ship Tavern, London; MARBLE; 29; CYAN; 34; 50
Sui; Thu Apr 03 08:58:24 BST 2014; 51.5176 N  0.1189 W; Ship Tavern, London; VICTORIAN; 36; GREEN; 23; 50
Sui; Thu Apr 03 08:58:24 BST 2014; 51.5269 N  0.1055 W; City Law School; PAKISTAN; 61; GREEN; 8; 50
Sui; Thu Apr 03 08:58:24 BST 2014; 51.5269 N  0.1055 W; City Law School; SCHOOL; 96; RED; 4; 50
Sui; Thu Apr 03 09:31:42 BST 2014; 51.5271 N  0.1048 W; City Law School; BARRISTERS; 31; MAGENTA; 30; 50
Sui; Thu Apr 03 09:31:42 BST 2014; 51.5271 N  0.1048 W; City Law School; PRIME; 53; MAGENTA; 14; 50
Sui; Thu Apr 03 09:31:42 BST 2014; 51.5271 N  0.1048 W; City Law School; SECTION; 51; BLACK; 13; 50
Sui; Thu Apr 03 09:31:42 BST 2014; 51.5271 N  0.1048 W; City Law School; NEHRU; 30; MAGENTA; 40; 50
Sui; Thu Apr 03 09:31:42 BST 2014; 51.5271 N  0.1048 W; City Law School; EDUCATION; 26; MAGENTA; 45; 50
Susan; Thu Mar 27 14:19:21 GMT 2014; 51.5276 N  0.1042 W; City Law School; CITY; 102; GREEN; 1; 50
Susan; Thu Mar 27 14:19:21 GMT 2014; 51.5276 N  0.1042 W; City Law School; LAW; 78; RED; 3; 50
